,class_ratio,n_samples,n_features,balancing_method,classifier,accuracy,precision,recall,F1 score,ROC AUC Score
61,0.05,10000.0,30,ADASYN,XGboost,0.9815,0.9915209326974033,0.9889006342494715,0.990209050013231,0.9203762430506617
62,0.05,10000.0,30,RandomOverSampler,XGboost,0.984,0.9869109947643979,0.9963002114164905,0.9915833771699106,0.8824093649675046
63,0.05,10000.0,30,SMOTE,XGboost,0.983,0.9904963041182682,0.9915433403805497,0.9910195456946647,0.9124383368569414
64,0.05,10000.0,30,BorderlineSMOTE,XGboost,0.9845,0.9905113336847654,0.9931289640591966,0.9918184217471628,0.913231148696265
65,0.05,10000.0,30,SVMSMOTE,XGboost,0.9825,0.9904912836767037,0.991014799154334,0.9907529722589168,0.9121740662438338
66,0.05,10000.0,50,Unbalanced,XGboost,0.9845,0.983879355174207,1.0,0.9918741808650067,0.8564814814814815
67,0.05,10000.0,50,ADASYN,XGboost,0.9865,0.9926043317485472,0.9931289640591966,0.9928665785997358,0.9317496672147835
68,0.05,10000.0,50,RandomOverSampler,XGboost,0.9925,0.9921342422653382,1.0,0.9960515925243486,0.9305555555555556
69,0.05,10000.0,50,SMOTE,XGboost,0.9895,0.9931470743278862,0.9957716701902748,0.9944576405384007,0.9377006499099522
70,0.05,10000.0,50,BorderlineSMOTE,XGboost,0.991,0.9926393270241851,0.9978858350951374,0.9952556668423828,0.9341281027327539
71,0.05,10000.0,50,SVMSMOTE,XGboost,0.9915,0.9926431949553337,0.9984143763213531,0.9955204216073781,0.9343923733458617
72,0.05,50000.0,10,Unbalanced,XGboost,0.9932,0.9942105263157894,0.9986255022203425,0.9964131237472307,0.9485747437300975
73,0.05,50000.0,10,ADASYN,XGboost,0.9425,0.9950953071006576,0.9438570522309156,0.9687991752129795,0.9313381202113987
74,0.05,50000.0,10,RandomOverSampler,XGboost,0.9931,0.9950437625224086,0.9976739268344259,0.9963571089171638,0.955479029837877
75,0.05,50000.0,10,SMOTE,XGboost,0.9876,0.9953300785395882,0.991541552125185,0.9934322033898306,0.9551803701585334
76,0.05,50000.0,10,BorderlineSMOTE,XGboost,0.9918,0.9954555062354682,0.9958765066610277,0.9956659619450318,0.958270356651547
77,0.05,50000.0,10,SVMSMOTE,XGboost,0.9917,0.9955597843323819,0.9956650454641573,0.995612412116086,0.959087135278204
78,0.05,50000.0,30,Unbalanced,XGboost,0.992,0.9924345907323736,0.999153707817624,0.9957828149710068,0.9337633255724317
79,0.05,50000.0,30,ADASYN,XGboost,0.9834,0.993936815232422,0.9884692690151274,0.9911955022806831,0.9421322579079293
80,0.05,50000.0,30,RandomOverSampler,XGboost,0.9925,0.9936828806064435,0.9984132021580451,0.9960424252018363,0.944361994132039
81,0.05,50000.0,30,SMOTE,XGboost,0.9902,0.99418911780243,0.9954511795197292,0.9948197483877789,0.9474513667251296
82,0.05,50000.0,30,BorderlineSMOTE,XGboost,0.9918,0.9938863708232318,0.9974611234528721,0.9956705385427667,0.9457141083443519
83,0.05,50000.0,30,SVMSMOTE,XGboost,0.9921,0.9939924114671164,0.9976726964984661,0.9958291536877674,0.9467339716495988
84,0.05,50000.0,50,Unbalanced,XGboost,0.9916,0.9914010067114094,0.9997884940778342,0.9955770850884582,0.9245265999800936
85,0.05,50000.0,50,ADASYN,XGboost,0.9891,0.9944979367262724,0.9939720812182741,0.9942349394404189,0.9491919229620783
86,0.05,50000.0,50,RandomOverSampler,XGboost,0.9936,0.9935883960479294,0.9996827411167513,0.9966262519768055,0.9437751940877874
87,0.05,50000.0,50,SMOTE,XGboost,0.9922,0.9943074003795066,0.9974619289340102,0.995882166613874,0.9490986115258286
88,0.05,50000.0,50,BorderlineSMOTE,XGboost,0.9942,0.9947357338387028,0.9991539763113367,0.996939959902923,0.9536211058027272
89,0.05,50000.0,50,SVMSMOTE,XGboost,0.9938,0.9943169858977058,0.9991539763113367,0.9967296128283575,0.949944635214492
90,0.05,100000.0,10,Unbalanced,XGboost,0.98805,0.9900251994960101,0.9974083672713809,0.9937030694243183,0.9117874407262667
91,0.05,100000.0,10,ADASYN,XGboost,0.92305,0.9948148148148148,0.9234146083461152,0.9577858847409277,0.92007875888486
92,0.05,100000.0,10,RandomOverSampler,XGboost,0.98475,0.9938933729821581,0.9899508118686201,0.9919181748324015,0.9423679036470274
93,0.05,100000.0,10,SMOTE,XGboost,0.97945,0.9937006192611574,0.9845030940921352,0.9890804750391881,0.9382716751338992
94,0.05,100000.0,10,BorderlineSMOTE,XGboost,0.981,0.9942905928178859,0.9855609033691225,0.9899065023374415,0.943832601730307
95,0.05,100000.0,10,SVMSMOTE,XGboost,0.9837,0.9939390717209846,0.988787221663934,0.991356453494538,0.9422435650863127
96,0.05,100000.0,30,Unbalanced,XGboost,0.9911,0.9912929451875164,0.999365448680662,0.995312829155256,0.9234660117599821
97,0.05,100000.0,30,ADASYN,XGboost,0.9744,0.9945701843986883,0.9782666173126752,0.9863510343356792,0.9427604895562458
98,0.05,100000.0,30,RandomOverSampler,XGboost,0.99165,0.9937829293993677,0.9974089154460367,0.9955926209390092,0.9445263126357824
99,0.05,100000.0,30,SMOTE,XGboost,0.98825,0.9942309727955965,0.9933372111469515,0.9937838910197064,0.9466226918911984
100,0.05,100000.0,30,BorderlineSMOTE,XGboost,0.98995,0.9942413355874894,0.9951351065517424,0.9946880202965195,0.947521639593594
101,0.05,100000.0,30,SVMSMOTE,XGboost,0.99015,0.994085964727004,0.9955052614880229,0.9947951068720442,0.9463293065934146
102,0.05,100000.0,50,Unbalanced,XGboost,0.99255,0.9925443662711331,0.9996298450637195,0.9960745053613299,0.9346174936980672
103,0.05,100000.0,50,ADASYN,XGboost,0.9776,0.9945358118605024,0.9817037702924224,0.9880781308212251,0.944019929223346
104,0.05,100000.0,50,RandomOverSampler,XGboost,0.9936,0.9947321287467734,0.9985193802548781,0.9966221565419328,0.9533460078501205
105,0.05,100000.0,50,SMOTE,XGboost,0.989,0.9947588543596803,0.993601607530009,0.9941798941798942,0.951346258310459
106,0.05,100000.0,50,BorderlineSMOTE,XGboost,0.99215,0.9947762769100886,0.9969330019565332,0.9958534717270158,0.9530119555237211
107,0.05,100000.0,50,SVMSMOTE,XGboost,0.99285,0.9949889228821606,0.9974617947226482,0.9962238242361827,0.9551128991978713
108,0.01,10000.0,10,Unbalanced,XGboost,0.9925,0.9929399899142713,0.999492385786802,0.9962054136099165,0.7664128595600677
109,0.01,10000.0,10,ADASYN,XGboost,0.9515,0.9947173798203909,0.9558375634517766,0.9748899818793684,0.8112521150592217
