,n_features,n_samples,class_ratio,distributions,balancer,classifier,accuracy,precision,recall,F1 score,ROC AUC Score,cluster distance
81,4,10000,0.1,multivariate_normal 4 feat.,BorderlineSMOTE,Decision Tree,0.9925,0.9633507853403142,0.9583333333333334,0.9608355091383812,0.977230825958702,5.0
82,4,10000,0.1,multivariate_normal 4 feat.,BorderlineSMOTE,Random Forest,0.995,0.9789473684210528,0.96875,0.9738219895287958,0.9832688053097346,5.0
83,4,10000,0.1,multivariate_normal 4 feat.,BorderlineSMOTE,XGboost,0.994,0.96875,0.96875,0.96875,0.9827157079646018,5.0
84,4,10000,0.1,multivariate_normal 4 feat.,BorderlineSMOTE,Lightgbm,0.9955,0.9740932642487048,0.9791666666666666,0.9766233766233766,0.9882005899705016,5.0
85,4,10000,0.1,multivariate_normal 4 feat.,SVMSMOTE,Logistic Regression,0.994,0.9455445544554456,0.9947916666666666,0.9695431472081218,0.9943537979351031,5.0
86,4,10000,0.1,multivariate_normal 4 feat.,SVMSMOTE,Decision Tree,0.992,0.94,0.9791666666666666,0.9591836734693876,0.9862647492625368,5.0
87,4,10000,0.1,multivariate_normal 4 feat.,SVMSMOTE,Random Forest,0.995,0.9642857142857144,0.984375,0.9742268041237112,0.9902516592920354,5.0
88,4,10000,0.1,multivariate_normal 4 feat.,SVMSMOTE,XGboost,0.9915,0.9310344827586208,0.984375,0.9569620253164558,0.9883158185840708,5.0
89,4,10000,0.1,multivariate_normal 4 feat.,SVMSMOTE,Lightgbm,0.9925,0.9402985074626866,0.984375,0.9618320610687024,0.9888689159292036,5.0
90,4,10000,0.01,multivariate_normal 4 feat.,Unbalanced,Logistic Regression,0.9985,0.95,0.9047619047619048,0.9268292682926828,0.952128299525975,5.0
91,4,10000,0.01,multivariate_normal 4 feat.,Unbalanced,Decision Tree,0.9955,0.7727272727272727,0.8095238095238095,0.7906976744186046,0.9034986404870184,5.0
92,4,10000,0.01,multivariate_normal 4 feat.,Unbalanced,Random Forest,0.9975,0.9444444444444444,0.8095238095238095,0.8717948717948718,0.9045092519069274,5.0
93,4,10000,0.01,multivariate_normal 4 feat.,Unbalanced,XGboost,0.997,0.9411764705882352,0.7619047619047619,0.8421052631578947,0.8806997280974037,5.0
94,4,10000,0.01,multivariate_normal 4 feat.,Unbalanced,Lightgbm,0.998,0.9473684210526316,0.8571428571428571,0.9,0.9283187757164512,5.0
95,4,10000,0.01,multivariate_normal 4 feat.,ADASYN,Logistic Regression,0.9965,0.7692307692307693,0.9523809523809524,0.8510638297872339,0.9746745590606126,5.0
96,4,10000,0.01,multivariate_normal 4 feat.,ADASYN,Decision Tree,0.9955,0.7727272727272727,0.8095238095238095,0.7906976744186046,0.9034986404870184,5.0
97,4,10000,0.01,multivariate_normal 4 feat.,ADASYN,Random Forest,0.9955,0.7727272727272727,0.8095238095238095,0.7906976744186046,0.9034986404870184,5.0
98,4,10000,0.01,multivariate_normal 4 feat.,ADASYN,XGboost,0.9965,0.7916666666666666,0.9047619047619048,0.8444444444444444,0.951117688106066,5.0
99,4,10000,0.01,multivariate_normal 4 feat.,ADASYN,Lightgbm,0.997,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9278134700064968,5.0
100,4,10000,0.01,multivariate_normal 4 feat.,RandomOverSampler,Logistic Regression,0.997,0.8,0.9523809523809524,0.8695652173913043,0.9749272119155898,5.0
101,4,10000,0.01,multivariate_normal 4 feat.,RandomOverSampler,Decision Tree,0.9985,0.95,0.9047619047619048,0.9268292682926828,0.952128299525975,5.0
102,4,10000,0.01,multivariate_normal 4 feat.,RandomOverSampler,Random Forest,0.998,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.951875646670998,5.0
103,4,10000,0.01,multivariate_normal 4 feat.,RandomOverSampler,XGboost,0.9975,0.8636363636363636,0.9047619047619048,0.8837209302325582,0.9516229938160206,5.0
104,4,10000,0.01,multivariate_normal 4 feat.,RandomOverSampler,Lightgbm,0.998,1.0,0.8095238095238095,0.8947368421052632,0.9047619047619048,5.0
105,4,10000,0.01,multivariate_normal 4 feat.,SMOTE,Logistic Regression,0.9975,0.8333333333333334,0.9523809523809524,0.888888888888889,0.9751798647705672,5.0
106,4,10000,0.01,multivariate_normal 4 feat.,SMOTE,Decision Tree,0.9955,0.7142857142857143,0.9523809523809524,0.8163265306122449,0.974169253350658,5.0
107,4,10000,0.01,multivariate_normal 4 feat.,SMOTE,Random Forest,0.9975,0.8333333333333334,0.9523809523809524,0.888888888888889,0.9751798647705672,5.0
108,4,10000,0.01,multivariate_normal 4 feat.,SMOTE,XGboost,0.996,0.76,0.9047619047619048,0.8260869565217391,0.9508650352510888,5.0
